Date,Price
9/20/2022,"91,800"
9/19/2022,"91,400"
9/16/2022,"91,500"
9/15/2022,"92,500"
9/14/2022,"92,800"
9/13/2022,"93,500"
9/12/2022,"93,600"
9/9/2022,"93,900"
9/8/2022,"93,800"
9/7/2022,"93,000"
9/6/2022,"94,000"
9/5/2022,"93,700"
9/2/2022,"93,000"
9/1/2022,"93,100"
8/31/2022,"94,000"
8/30/2022,"94,800"
8/29/2022,"94,500"
8/26/2022,"95,800"
8/25/2022,"95,800"
8/24/2022,"95,300"
8/23/2022,"95,000"
8/22/2022,"95,300"
8/19/2022,"95,500"
8/18/2022,"95,900"
8/17/2022,"96,200"
8/16/2022,"96,700"
8/15/2022,"97,400"
8/12/2022,"97,300"
8/11/2022,"96,600"
8/10/2022,"97,100"
8/9/2022,"96,900"
8/8/2022,"96,300"
8/5/2022,"96,800"
8/4/2022,"96,100"
8/3/2022,"95,300"
8/2/2022,"95,600"
8/1/2022,"95,400"
7/29/2022,"95,600"
7/28/2022,"94,800"
7/27/2022,"94,000"
7/26/2022,"94,200"
7/25/2022,"94,400"
7/22/2022,"94,000"
7/21/2022,"93,000"
7/20/2022,"94,000"
7/19/2022,"93,800"
7/18/2022,"94,000"
7/15/2022,"93,800"
7/14/2022,"94,600"
7/13/2022,"94,300"
7/12/2022,"94,500"
7/11/2022,"94,700"
7/8/2022,"94,600"
7/7/2022,"94,600"
7/6/2022,"96,000"
7/5/2022,"97,600"
7/4/2022,"97,500"
7/1/2022,"97,200"
6/30/2022,"97,500"
6/29/2022,"97,800"
6/28/2022,"97,700"
6/27/2022,"97,700"
6/24/2022,"97,200"
6/23/2022,"97,500"
6/22/2022,"97,300"
6/21/2022,"97,700"
6/20/2022,"97,700"
6/17/2022,"97,800"
6/16/2022,"97,300"
6/15/2022,"96,500"
6/14/2022,"97,100"
6/13/2022,"98,900"
6/10/2022,"97,700"
6/9/2022,"98,000"
6/8/2022,"97,500"
6/7/2022,"97,500"
6/6/2022,"98,100"
6/3/2022,"98,500"
6/2/2022,"97,600"
6/1/2022,"97,200"
5/31/2022,"98,000"
5/30/2022,"98,200"
5/27/2022,"98,000"
5/26/2022,"97,800"
5/25/2022,"98,200"
5/24/2022,"98,000"
5/23/2022,"98,000"
5/20/2022,"97,300"
5/19/2022,"96,300"
5/18/2022,"96,000"
5/17/2022,"96,700"
5/16/2022,"96,500"
5/15/2022,"96,500"
5/12/2022,"97,800"
5/11/2022,"97,000"
5/10/2022,"98,000"
5/9/2022,"98,700"
5/6/2022,"98,000"
5/5/2022,"98,600"
5/4/2022,"97,200"
5/3/2022,"97,200"
5/2/2022,"98,200"
4/29/2022,"99,200"
4/28/2022,"98,000"
4/27/2022,"99,000"
4/26/2022,"99,300"
4/25/2022,"100,200"
4/22/2022,"100,900"
4/21/2022,"100,900"
4/20/2022,"100,600"
4/19/2022,"102,100"
4/18/2022,"102,500"
4/15/2022,"102,000"
4/14/2022,"101,500"
4/13/2022,"101,500"
4/12/2022,"100,900"
4/11/2022,"100,100"
4/8/2022,"99,500"
4/7/2022,"99,000"
4/6/2022,"98,500"
4/5/2022,"98,800"
4/4/2022,"98,700"
4/1/2022,"99,700"
3/31/2022,"98,400"
3/30/2022,"98,800"
3/29/2022,"99,200"
3/28/2022,"100,500"
3/25/2022,"100,900"
3/24/2022,"100,300"
3/23/2022,"99,200"
3/22/2022,"100,300"
3/21/2022,"99,500"
3/17/2022,"99,800"
3/16/2022,"1,00,500"
3/15/2022,"1,00,500"
3/14/2022,"1,02,300"
3/11/2022,"1,02,600"
3/10/2022,"1,02,000"
3/9/2022,"1,05,500"
3/8/2022,"1,03,000"
3/7/2022,"1,03,000"
3/4/2022,"99,900"
3/3/2022,"99,000"
3/2/2022,"99,500"
3/1/2022,"97,600"
2/28/2022,"98,200"
2/25/2022,"98,000"
2/24/2022,"99,000"
2/23/2022,"96,500"
2/22/2022,"97,000"
2/21/2022,"96,200"
2/18/2022,"96,500"
2/17/2022,"96,100"
2/16/2022,"95,100"
2/15/2022,"96,700"
2/14/2022,"95,500"
2/11/2022,"94,000"
2/10/2022,"93,900"
2/9/2022,"93,400"
2/8/2022,"93,100"
2/7/2022,"92,600"
2/4/2022,"92,500"
2/3/2022,"92,700"
2/2/2022,"92,200"
2/1/2022,"91,900"
1/31/2022,"91,800"
1/28/2022,"92,600"
1/27/2022,"93,500"
1/26/2022,"94,400"
1/25/2022,"94,000"
1/24/2022,"93,500"
1/21/2022,"93,800"
1/20/2022,"93,700"
1/19/2022,"92,700"
1/18/2022,"92,600"
1/17/2022,"92,500"
1/16/2022,"92,400"
1/14/2022,"92,700"
1/13/2022,"92,500"
1/12/2022,"92,000"
1/11/2022,"91,600"
1/10/2022,"91,300"
1/7/2022,"91,600"
1/6/2022,"92,300"
1/5/2022,"92,800"
1/4/2022,"92,200"
1/3/2022,"93,100"
12/31/2021,"92,700"
12/30/2021,"92,100"
12/29/2021,"92,500"
12/28/2021,"93,000"
12/27/2021,"93,200"
12/24/2021,"93,100"
12/23/2021,"93,300"
12/22/2021,"92,600"
12/21/2021,"93,000"
12/20/2021,"93,800"
12/17/2021,"94,000"
12/16/2021,"93,000"
12/15/2021,"92,300"
12/14/2021,"92,800"
12/13/2021,"92,500"
12/10/2021,"92,200"
12/9/2021,"92,300"
12/8/2021,"92,300"
12/7/2021,"91,800"
12/6/2021,"92,000"
12/3/2021,"91,300"
12/2/2021,"91,500"
12/1/2021,"91,500"
11/30/2021,"91,900"
11/29/2021,"92,000"
11/26/2021,"91,900"
11/25/2021,"91,700"
11/24/2021,"91,800"
11/23/2021,"92,300"
11/22/2021,"93,900"
11/19/2021,"94,400"
11/18/2021,"94,500"
11/17/2021,"94,300"
11/16/2021,"94,800"
11/15/2021,"94,300"
11/12/2021,"94,400"
11/11/2021,"94,000"
11/10/2021,"92,700"
11/9/2021,"92,300"
11/8/2021,"92,500"
11/5/2021,"91,000"
11/4/2021,"91,000"
11/3/2021,"91,500"
11/2/2021,"92,000"
11/1/2021,"91,800"
10/29/2021,"92,000"
10/28/2021,"92,400"
10/27/2021,"92,000"
10/26/2021,"92,600"
10/25/2021,"92,400"
10/24/2021,"92,100"
10/22/2021,"91,700"
10/21/2021,"91,700"
10/20/2021,"91,400"
10/19/2021,"91,300"
10/18/2021,"91,300"
10/14/2021,"90,600"
10/13/2021,"90,600"
10/12/2021,"90,600"
10/11/2021,"90,600"
10/8/2021,"90,600"
10/7/2021,"90,400"
10/6/2021,"89,900"
10/5/2021,"90,300"
10/4/2021,"89,800"
10/1/2021,"89,600"
9/30/2021,"88,700"
9/29/2021,"88,900"
9/28/2021,"89,000"
9/27/2021,"89,300"
9/26/2021,"89,000"
9/24/2021,"89,000"
9/23/2021,"89,600"
9/22/2021,"90,100"
9/21/2021,"89,200"
9/20/2021,"88,900"
9/19/2021,"89,100"
9/17/2021,"89,100"
9/16/2021,"90,500"
9/15/2021,"91,200"
9/14/2021,"90,600"
9/13/2021,"90,600"
9/12/2021,"90,300"
9/10/2021,"90,700"
9/9/2021,"90,600"
9/8/2021,"90,700"
9/7/2021,"91,400"
9/6/2021,"91,400"
9/5/2021,"91,500"
9/3/2021,"90,900"
9/2/2021,"90,800"
9/1/2021,"91,000"
8/31/2021,"91,200"
8/30/2021,"91,600"
8/27/2021,"91,600"
8/26/2021,"91,100"
8/25/2021,"91,300"
8/24/2021,"91,600"
8/23/2021,"91,100"
8/22/2021,"90,900"
8/20/2021,"91,200"
8/19/2021,"90,800"
8/18/2021,"91,200"
8/17/2021,"91,000"
8/16/2021,"90,600"
8/13/2021,"89,700"
8/12/2021,"89,400"
8/11/2021,"88,800"
8/10/2021,"89,200"
8/9/2021,"89,000"
8/8/2021,"90,000"
8/6/2021,"91,500"
8/5/2021,"92,000"
8/4/2021,"92,000"
8/3/2021,"92,300"
8/2/2021,"92,300"
7/30/2021,"92,900"
7/29/2021,"92,400"
7/28/2021,"92,100"
7/27/2021,"91,800"
7/26/2021,"92,100"
7/23/2021,"92,100"
7/22/2021,"91,800"
7/21/2021,"92,500"
7/20/2021,"93,200"
7/19/2021,"92,800"
7/16/2021,"93,200"
7/15/2021,"93,200"
7/14/2021,"92,700"
7/13/2021,"92,400"
7/12/2021,"92,200"
7/9/2021,"92,400"
7/8/2021,"92,300"
7/7/2021,"92,200"
7/6/2021,"91,800"
7/5/2021,"91,500"
7/4/2021,"91,400"
7/1/2021,"91,300"
6/30/2021,"90,000"
6/29/2021,"90,500"
6/28/2021,"90,700"
6/25/2021,"90,500"
6/24/2021,"90,500"
6/23/2021,"90,700"
6/22/2021,"91,000"
6/21/2021,"90,400"
6/18/2021,"90,800"
6/17/2021,"92,000"
6/16/2021,"93,100"
6/15/2021,"93,200"
6/11/2021,"94,500"
6/10/2021,"93,900"
6/9/2021,"94,200"
6/8/2021,"94,100"
6/7/2021,"93,800"
6/6/2021,"94,100"
6/4/2021,"93,400"
6/3/2021,"94,900"
6/2/2021,"94,500"
5/31/2021,"94,200"
5/27/2021,"94,200"
5/26/2021,"93,500"
5/24/2021,"93,700"
5/21/2021,"93,300"
5/20/2021,"93,700"
5/19/2021,"93,300"
5/7/2021,"91,700"
5/6/2021,"90,600"
5/5/2021,"90,300"
5/4/2021,"90,600"
5/3/2021,"90,400"
4/23/2021,"91,700"
4/22/2021,"92,200"
4/11/2021,"89,500"
4/9/2021,"89,900"
4/7/2021,"88,000"
3/4/2021,"86,500"
3/1/2021,"88,700"
2/28/2021,"88,300"
2/12/2021,"91,900"
2/1/2021,"92,600"
1/1/2020,"94,100"
1/1/2019,"73,600"
1/1/2018,"60,600"
1/1/2017,"56,200"
